id,site
1,Adabrock
2,Alalakh
3,Alcalar 
4,Aldea del Teriñuelo
5,Aldeagordillo
6,Alto del Reinoso
7,Ambérieu-en-Bugey
8,Analipsi
12,Argelliers
13,Arras - Market Weighton
14,Arroyal I
15,Arroyo de las Vegas
16,Ashville Trading Estate
17,Asine
18,Athens Agora
19,Aubais
20,Aumelas
21,Baigneurs - Charavines
22,Baks - Levelény
23,Balgay
24,Balmashanner
25,Bampfylde Hill
26,Barát cave
27,Barbey
28,Barbuise - Courtavant
29,Barnett Copse
30,Barrow - Mount Caburn
31,Barrow - Site n4
32,Barrow 1 - Hill Field
33,Barrow 25 - Rollestone Field Group
34,Barrow Abney Moor
35,Barrow Aldbourne
36,Barrow Amesbury 
37,Newton Barrow
38,Upton great Barrow
39,Cow Down
40,Oakley Down
41,Normanton Group
42,The Manton Barrow
43,Netdown group
44,Winterbourne Stoke Wst Group
45,Barrow G68 Durrington
46,Barrow III Bourton-on-the-Water
47,Battonya
48,Baume de La Roche
49,Bedd Branwen
50,Bela Vista
51,Bélesta
52,Beneceto
53,Berrias
54,Bessingham
55,Billy
56,Bismantova
57,Bizzieberry Hill
58,Blackheath Barrow - Blackheath Cross
59,Blanquizares de Lébor
60,Blawearie cairn - Old Bewick
61,Blinmill Farm
62,Bölcske
63,Boscregan - Carn Creis - Barrow III
64,Breiddin hillfort
65,Brunbachmatt
66,Burntisland
67,Cabana del Moro de Colomera
68,Cabecinho de Capitõa
69,Cabezo Redondo
70,Campestrin
72,Canourge
73,Cantazorras
74,Cantera
75,Caño Ronco I
76,Casetón de la Era
77,Castelo Velho do Caratão
78,Castillejo del Bonete
79,Castro de Nossa Senhora da Guia
80,Cava Cana Barbara
81,Cavaleiros 1 - Anta da Capela
82,Cazevieille
83,Cerro Ortega
84,Chalandritsa
85,Choisy-au-Bac
86,Chousa Nova
87,Ciella
88,Cisternino
89,Civezzano
90,Cles
91,Collias
92,Comenda da Igreja 1
93,Coppa Nevigata
94,Corôa do Frade
95,Cos - Eleona and Langada
96,Coto Alto
97,Coulounieix - Chamiers
98,Cova de Can Mauri
99,Cova de la Pastora
100,Cova de la Roca del Frare
101,Cova de Les Pixarelles
102,Cova del Frare
104,Cova del Gegant
105,Cova del Llidoner
106,Cova dels Muricecs de Cellers
107,Crozon
108,Csongrád-Felgyo
109,Cubillejo de Lara de los Infantes
110,Cueva de Casla
111,Cueva de la Pedraza
112,Cueva de las Ventanas
113,Cueva de los Cuarenta
114,Culbin Sands
115,Cullen of Buchan
116,Dachshubel
117,Danes Graves - Barrow 5
118,Debata Realengo
119,Dehesa de Río Fortes
120,Delphi
121,Dendra
122,Dolmen de Alberite
124,Dolmen de Grailhe
125,Dolmen de la Drailhe
126,Dolmen de la Marque
127,Dolmen de la Pierre Folle
128,Dolmen de la Rosa
129,Dolmen de Puyraveau
130,Dolmen du Devezas
131,Dolmen du Rieutort
132,Dolmen II du Bois-bas
133,Dolmen Portillo de las Cortes
134,Donja Bitinja
135,Donzère
136,Dunaujváros - Kosziderpadlás
137,Dyfnant Forest
138,Easton Down - Winterslow site
139,Easton Lane Interchange
140,Ecorneboeuf
141,El Castellón
142,El Cimajo
143,El Guijo
144,El Hornazo (fondo 103)
145,El Juncal I
146,El Miradero
147,El Ollar
148,El Pedroso
149,El Retamar
150,El Soto
151,El Tesoro
152,El Tomillar
153,Elaphotopos
154,Elis
155,Elm Road - Site 44
156,Enkomi
10,Penedos de São Miguel
11,Zambujeiro
71,Campo de Hockey
103,Cova del Garrofer
123,Dolmen del Juncal
157,Errekatxuetako Atxa
158,Eschoncan Fell
159,Estructura 10.042-10.049 (PP4 Montelirio)
160,Feltwell Fen
161,Fiavè
162,Forat de Conqueta
163,Forêt des Moidons
164,Fossa del Gegant
165,Frattesina
166,Fuentepecina
167,Füzesabony
168,Glastonbury Lake Village
169,Glen Avenue
170,Glenluce
