id,id_site,structure,country,adm1,adm2,millennium,struc_type,x_coord,y_coord
CNS4008,379,Cova da Moura,Portugal,Lisboa,Torres Vedras - São Pedro da Cadeira,4th-2nd,Natural cave,-9.396378,39.075498
SET15004,377,Grutas da Quinta do Anjo 3 - Grutas do Casal do Pardo 3 - Covas da Moura 3,Portugal,Setúbal,Palmela - Quinta do Anjo,3rd,Artificial cave,-8.938630104,38.56414795
AND01017,378,Fuente Álamo - Tumba 111,Spain,Almería,Cuevas del Almanzora,3rd-2th,Pithos,-1.857258,37.330344
CNS3773,376,Praia da Samarra,Portugal,Lisboa,Sintra - São João das Lampas e Terrugem,3rd-2th,Tholos,-9.434359,38.897281
SET15001,377,Grutas da Quinta do Anjo - Grutas do Casal do Pardo - Covas da Moura,Portugal,Setúbal,Palmela - Quinta do Anjo,3rd,Artificial cave,-8.938630104,38.56414795
FRA0007,48,Baume de La Roche,France,Doubs ,Sancey-le-Long,Undefined,,6.612575423,47.29314275
ENG0001,13,Arras A4 - The Queen Barrow,England,Yorkshire - East Riding,Market Weighton,1st,Barrow,-0.674433573,53.86463552
ENG0002,13,Arras barrow W57,England,Yorkshire - East Riding,Market Weighton,1st,Barrow,-0.675806843,53.86450901
CL02002,14,Arroyal I,Spain,Burgos,Alfoz de Quintanadueñas,4th,Passage grave,-3.758969,42.407049
CL02011,15,Arroyo de las Vegas,Spain,Burgos,Sargentes de la Lora,3rd,Domestic,-3.8953,42.745706
ENG0033,34,Barrow Abney Moor,England,Derbyshire,Abney,3rd-2nd,Barrow,-1.6982125,53.31939964
ENG0013,35,Barrow Aldbourne G6,England,Wiltshire,Aldbourne,3rd-2nd,Barrow,-1.642349458,51.49417716
ENG0015,36,Barrow G 48,England,Wiltshire,Amesbury,3rd-2nd,Barrow,-1.77862387,51.17647829
ENG0016,36,Barrow G 54,England,Wiltshire,Amesbury,3rd-2nd,Barrow,-1.788509494,51.1744952
ENG0018,37,Barrow G1 - Newton Barrow,England,Wiltshire,South Newton,3rd-2nd,Barrow,-1.880205623,51.11373401
ENG0023,41,Barrow G16 - Normanton Group,England,Wiltshire,Salisbury,3rd-2nd,Barrow,-1.838905388,51.08778224
ENG0017,42,Barrow G1a - The Manton Barrow,England,Wiltshire,Preshute,3rd-2nd,Barrow,-1.767767639,51.40908379
CNS19452,50,Bela Vista,Portugal,Lisboa,Sintra - Sintra,3rd,Tholos,-9.42461,38.79155
AND08012,75,Caño Ronco I,Spain,Sevilla,Camas,3rd,Tholos,-6.046819,37.400076
CL07001,76,Casetón de la Era,Spain,Valladolid,Villalba de los Alcores,3rd,Domestic,-4.860508,41.902827
CNS597-2,285,Perdigões - T2,Portugal,Évora,Reguengos de Monsaraz - Reguengos de Monsaraz,3rd,Tholos,-7.550093437,38.439755
CVL02012,380,Costamar T31002,Spain,Castellón,Cabanes,2nd,Pit,0.052471028,40.15922145
CNS616,92,Comenda da Igreja 1,Portugal,Évora,"Montemor-o-Novo-Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",3rd,Dolmen,-8.203212,38.757939
FRA0009,53,Berrias,France,Ardèche,Chandolas ,Undefined,Dolmen,4.263335869,44.42826839
FRA0030,381,Villevenard,France,Marne,Villevenard,3rd,Hypogeum,3.79807573,48.82886041
ENG0024,35,Barrow Aldbourne G3,England,Wiltshire,Aldbourne,3rd-2nd,Barrow,-1.641085578,51.49195827
ENG0025,36,Barrow G 46,England,Wiltshire,Amesbury,3rd-2nd,Barrow,-1.77195859,51.15326273
CAT01034,372,Cova Can Figueres,Spain,Barcelona,Begues,4th-3rd,Natural cave,1.92334,41.344998
CL05003,110,Cueva de Casla,Spain,Segovia,Casla,3rd,Natural cave,-3.6533406,41.1768221
ENG0003,16,Ashville Trading Estate,England,Gloucestershire,Cheltenham,3rd-2nd,,-2.09495111,51.92012325
ENG0037,58,Blackheath Barrow - Blackheath Cross,England,West Yorkshire,Todmorden,3rd-2nd,Barrow,-2.081060865,53.71388027
MUR002,59,Blanquizares de Lébor,Spain,Murcia,Totana,4th-3rd,Hypogeum,-1.548667,37.760463
ENG0038,60,Blawearie cairn - Old Bewick,England,Northumberland,Bewick,3rd-2nd,Cairn,-1.87177,55.494425
SCO0005,61,Blinmill Farm,Scotland,Aberdeenshire,Auchterless,3rd-2nd,Barrow,-2.484409182,57.46231881
ENG0039,63,Boscregan - Carn Creis - Barrow III,England,Cornwall,Saint Just,3rd-2nd,Barrow,-5.6965,50.108473
SCO0006,66,Burntisland,Scotland,Fife,Burntisland,2nd-1st,Barrow,-3.211472145,56.06950556
CNS22983,68,Cabecinho de Capitõa,Portugal,Lisboa,Mafra - Igreja Nova e Cheleiros,2nd,Pit,-9.339765,38.919822
CNS3201,81,Cavaleiros 1 - Anta da Capela,Portugal,Portalegre,Avis - Benavila e Valongo,3rd,Dolmen,-7.922903,39.16202
CLM02003,83,Cerro Ortega,Spain,Ciudad Real,Villanueva de la Fuente,3rd,Shelter,-2.710976,38.651843
CL02010,87,Ciella,Spain,Burgos,Valle de Sedano,4th-3rd,Passage grave,-3.737547,42.725766
CNS5452,94,Corôa do Frade,Portugal,Évora,Évora - Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,3rd,Domestic,-8.036376,38.544976
AND04021,112,Cueva de las Ventanas,Spain,Granada,Piñar,2nd,Natural cave,-3.426786,37.441902
ENG0041,117,Danes Graves - Barrow 5,England,Yorkshire - East Riding,Nafferton ,1st,Barrow,-0.446500548,54.05624827
CLM04001,133,Dolmen Portillo de las Cortes,Spain,Guadalajara,Anguita,4th,Dolmen,-2.40664,41.057069
CL08002,151,El Tesoro,Spain,Zamora,Morales de Rey,4th,Passage grave,-5.790441,42.078469
CL01003,152,El Tomillar,Spain,Ávila,Bercial de Zapardiel,3rd,Pit,-4.981399,41.035842
ENG0036,54,Bessingham,England,Norfolk,Bessingham,2nd-1st,,1.220820024,52.88432613
FRA0057,223,La Motte-aux-Magnins,France,Jura,Clairvaux-les-Lacs,Undefined,,5.743291806,46.57214198
GRE0015,212,Koukounara,Greece,Messenia,Pylos,2nd,,21.75187293,36.97243682
ITA0012,275,Olmo di Nogara,Italy,Verona ,Nogara,2nd-1st,Necropolis,11.05594843,45.18103901
CL02003,109,Cubillejo de Lara de los Infantes,Spain,Burgos,Mambrillas de Lara,4th-3rd,Passage grave,-3.514936,42.123944
CL01002,119,Dehesa de Río Fortes,Spain,Ávila,Mironcillo,4th-3rd,Chamber,-4.830095,40.578584
AND02021,122,Dolmen de Alberite,Spain,Cádiz,Villamartín,3rd,Dolmen,-5.636684,36.8167
FRA0021,124,Dolmen de Grailhe,France,Gard,Campestre-et-Luc,Undefined,Dolmen,3.3754,43.9517
FRA0022,125,Dolmen de la Drailhe,France,Hérault ,Viols-le-Fort,Undefined,Dolmen,3.706633476,43.75534095
FRA0023,126,Dolmen de la Marque,France,Lozère,Mas-Saint-Chély,Undefined,Dolmen,3.399282177,44.31468735
FRA0024,127,Dolmen de la Pierre Folle,France,Vendée,Thiré,Undefined,Dolmen,-0.998055556,46.5525
AND02001,128,Dolmen de la Rosa,Spain,Cádiz,Villamartín,3rd,Dolmen,-5.587538,36.828904
FRA0025,129,Dolmen de Puyraveau,France,Deux-Sèvres,Saint-Léger-de-Montbrun,Undefined,Dolmen,-0.116129014,46.99228667
FRA0026,130,Dolmen du Devezas,France,Hérault ,Saint-Maurice-de-Navacelles,Undefined,Dolmen,3.518553481,43.85227036
FRA0027,131,Dolmen du Rieutort,France,Ardèche ,Chauzon,Undefined,Dolmen,4.3642563,44.486456
FRA0028,132,Dolmen II du Bois-bas,France,Hérault,Minerve,Undefined,Dolmen,2.6801,43.36846
AND02006,279,Paraje de Montebajo - Tumba 3,Spain,Cádiz,Alcalá de los Gazules,4th-3rd,Tholos,-5.708208,36.395676
AND02019,123,Dolmen de El Juncal,Spain,Cádiz,Ubrique,4th-3rd,Dolmen,-5.484823,36.66306
ENG0042,138,Easton Down - Winterslow site,England,Wiltshire,Winterslow ,3rd-1st,Barrow,-1.6624617,51.121808
ENG0043,139,Easton Lane Interchange,England,Hampshire,Easton Lane,3rd-1st,Necropolis,-1.289017658,51.07426682
ENG0012,35,Barrow Aldbourne G1,England,Wiltshire,Aldbourne,3rd-2nd,Barrow,-1.642389067,51.49428034
CL02012,144,El Hornazo (fondo 103),Spain,Burgos,Burgos,3rd,Pit,-3.7050546,42.3402541
PV02002,157,Errekatxuetako Atxa,Spain,Vizcaya - Bizkaia,Zeanuri,Undefined,Dolmen,-2.770767,43.049359
AND08002,159,Estructura 10.042-10.049 (PP4 Montelirio),Spain,Sevilla,Castilleja de Guzmán,3rd,Tholos,-6.058684,37.409845
